Name	Set	ImageFile	Type	Bonus	Slot	Value	Card	Text
Non-Euclidean Map	Cthulhu	cthulhu_treasure039,cthulhutreasureback	Treasure	--	--	400 Gold Pieces	Enhancer	Draw one extra Treasure each time you kill a monster on your turn.  Because you can no longer be sure which way you are going, you have a -1 penalty to Run Away
...Of The Middle-Aged Gods	Cthulhu	cthulhu_treasure040,cthulhutreasureback	Treasure	+2 Bonus	--	--	Enhancer	Place this card with an item that gives a combat bonus.  That item is now the (whatever) Of The Middle-Aged Gods, and worth an extra +2 in combat.  If it required Hands, it now takes one less Hand to use.  This card goes with the item if it is lost, stolen, o
Official Mythos...	Cthulhu	cthulhu_treasure041,cthulhutreasureback	Treasure	+2 Bonus	--	--	Enhancer	Place this card with an item that requires Hands.  That item is now the Official Mythos (whatever), and worth an extra +2 in combat.  This card goes with the item if it is lost, stolen, or discarded.
Piercing Shriek	Cthulhu	cthulhu_treasure042,cthulhutreasureback	Treasure	+2 Bonus	--	--	UOO	+2 to either side in a combat.  Usable once only.  If the player to your left has a lower level than you when you discard this card, he may immediately put it in his hand to use in a later combat.
Prehistoric Axe	Cthulhu	cthulhu_treasure043,cthulhutreasureback	Treasure	+2/+5 Bonus	1 Hand	500 Gold Pieces	Item	+2 bonus normally, but +5 against any monster of Level 15 or above.
Professor Tesla's Electrical Protective Device (pat. pending)	Cthulhu	cthulhu_treasure044,cthulhutreasureback	Treasure	+4 Bonus	Armor	900 Gold Pieces	Item	--
Quicker Ichor	Cthulhu	cthulhu_treasure045,cthulhutreasureback	Treasure	+2 Bonus	--	400 Gold Pieces	UOO	Play when characters attempt to Run Away after combat.  The Ichor gives +2 either for or against the attempt, and applies to all monsters and all characters in the combat.  Usable once only.
Railroad Spike	Cthulhu	cthulhu_treasure046,cthulhutreasureback	Treasure	+3 Bonus	1 Hand	400 Gold Pieces	Item	Usable by Monster Whacker Only
Report Creatures to FBI	Cthulhu	cthulhu_treasure047,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Shoes Of Only Having To Run Faster Than YOU	Cthulhu	cthulhu_treasure048,cthulhutreasureback	Treasure	--	Footgear	500 Gold Pieces	Item	If you and another player are both trying to Run Away, you escape automatically (regardless of other cards or monster powers) and he gets a -2 to his roll.
Shogulator	Cthulhu	cthulhu_treasure049,cthulhutreasureback	Treasure	Variable	2 Hands	600 Gold Pieces	Item	+10 against a Shoggoth or Shog Goth.  +5 if any other -goth is in the combat.  +2 otherwise.
Sicker Ichor	Cthulhu	cthulhu_treasure050,cthulhutreasureback	Treasure	+2 Bonus	--	100 Gold Pieces	Item	+2 to either side in a combat. Usable once only.
Slime-Proof Poncho	Cthulhu	cthulhu_treasure051,cthulhutreasureback	Treasure	+2 Bonus	Armor	400 Gold Pieces	Item	You are immune to all ichor effects, friendly or hostile, except those you play yourself.
Solar Eclipse	Cthulhu	cthulhu_treasure052,cthulhutreasureback	Treasure	--	--	--	UOO	Play this card after a combat.  All treasure is turned face down, shuffled, and divided randomly between the participants in the combat.  If there is an odd card, it goes to the player whose turn it is.
Sole Survivor	Cthulhu	cthulhu_treasure053,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	If you play this card immediately after you participate in a combat in which the other Munchkin gets Bad Stuff and you don't, go up TWO levels.
Song of Madness	Cthulhu	cthulhu_treasure054,cthulhutreasureback	Treasure	+2 Bonus	--	--	UOO	Munchkin Cthulhu, Munchkin Cthulhu, you'll come a Munchkin Cthulhu with me!  +2 to either side in a combat, or +5 if the one who plays the card sings the above out loud.  May not be used to aid the munchkin side unless only a single munchkin is fighting.  Usable once only.
Sticker Ichor	Cthulhu	cthulhu_treasure055,cthulhutreasureback	Treasure	+4 Bonus	--	300 Gold Pieces	UOO	Glues its victim to the floor.  +4 to either side in a combat.  Usable once only.
Sushi Knife of Doom	Cthulhu	cthulhu_treasure056,cthulhutreasureback	Treasure	+2 Bonus	1 Hand	300 Gold Pieces	Item	--
Target Practice	Cthulhu	cthulhu_treasure057,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Tell The President	Cthulhu	cthulhu_treasure058,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Tentacle	Cthulhu	cthulhu_treasure059,cthulhutreasureback	Treasure	--	-1 Hand	400 Gold Pieces	Item	Usable by Cultist Only.  Gives one extra Hand.
Thicker Ichor	Cthulhu	cthulhu_treasure060,cthulhutreasureback	Treasure	--	--	300 Gold Pieces	Enhancer	If used when any other Ichor is used the effect of the other Ichor is doubled.
Tommy Gun	Cthulhu	cthulhu_treasure061,cthulhutreasureback	Treasure	+4 Bonus	2 Hands	600 Gold Pieces	Item	An extra +1 if you go by Tom, Tommy, or Tommie.  But not usable if you are named Tom or Thomas and won't let people call you Tommy.
Triple-Barreled Shotgun	Cthulhu	cthulhu_treasure062,cthulhutreasureback	Treasure	+4 Bonus	2 Hands	700 Gold Pieces	Item	Usable by Investigator Only
Tweed Jacket	Cthulhu	cthulhu_treasure063,cthulhutreasureback	Treasure	+2 Bonus	Armor	400 Gold Pieces	Item	Usable by Professor Only.  May be worn along with other Armor, but anything that takes away your Armor will take it all.
Two-Handed Flashlight	Cthulhu	cthulhu_treasure064,cthulhutreasureback	Treasure	+3 Bonus	2 Hands	400 Gold Pieces	Item	Not Usable by Professor
Unspeakable Riches	Cthulhu	cthulhu_treasure065,cthulhutreasureback	Treasure	--	--	--	UOO	Draw three more Treasure cards immediately.  They are face-down if you drew this card face down; otherwise, they are face-up.
Wand Of Walloping	Cthulhu	cthulhu_treasure066,cthulhutreasureback	Treasure	+3 Bonus	1 Hand	400 Gold Pieces	Item	Not Usable by Investigator
Wishing Ring1	Cthulhu	cthulhu_treasure067,cthulhutreasureback	Treasure	--	--	500 Gold Pieces	UOO	Cancels any curse.  Play at any time.  Usable once only.
Wishing Ring2	Cthulhu	cthulhu_treasure068,cthulhutreasureback	Treasure	--	--	500 Gold Pieces	UOO	Cancels any curse.  Play at any time.  Usable once only.
Arkhamster	Cthulhu 2	cthulhu2coc_door001,cthulhudoorback	Door	--	--	--	--	text
Batrachian	Cthulhu 2	cthulhu2coc_door002,cthulhudoorback	Door	--	--	--	--	text
Bee-Go	Cthulhu 2	cthulhu2coc_door003,cthulhudoorback	Door	--	--	--	--	text
Catzathoth	Cthulhu 2	cthulhu2coc_door004,cthulhudoorback	Door	--	--	--	--	text
Cha-Cha People	Cthulhu 2	cthulhu2coc_door005,cthulhudoorback	Door	--	--	--	--	text
Cheat!	Cthulhu 2	cthulhu2coc_door006,cthulhudoorback	Door	--	--	--	--	text
Chk-Chk-Chk	Cthulhu 2	cthulhu2coc_door007,cthulhudoorback	Door	--	--	--	--	text
Cowthulhu	Cthulhu 2	cthulhu2coc_door008,cthulhudoorback	Door	--	--	--	--	text
Cultist1	Cthulhu 2	cthulhu2coc_door009,cthulhudoorback	Door	--	--	--	--	text
Cultist2	Cthulhu 2	cthulhu2coc_door010,cthulhudoorback	Door	--	--	--	--	text
Doggoth	Cthulhu 2	cthulhu2coc_door011,cthulhudoorback	Door	--	--	--	--	text
Hog-Sothoth	Cthulhu 2	cthulhu2coc_door012,cthulhudoorback	Door	--	--	--	--	text
Horribly Indescribable	Cthulhu 2	cthulhu2coc_door013,cthulhudoorback	Door	--	--	--	--	text
Investigator	Cthulhu 2	cthulhu2coc_door014,cthulhudoorback	Door	--	--	--	--	text
Itsy-Bitsy	Cthulhu 2	cthulhu2coc_door015,cthulhudoorback	Door	--	--	--	--	text
K'horn-Roze	Cthulhu 2	cthulhu2coc_door016,cthulhudoorback	Door	--	--	--	--	text
Madness! Gammaphobia	Cthulhu 2	cthulhu2coc_door017,cthulhudoorback	Door	--	--	--	--	text
Madness! Kleptomania	Cthulhu 2	cthulhu2coc_door018,cthulhudoorback	Door	--	--	--	--	text
Madness! Obsessive-Compulsive	Cthulhu 2	cthulhu2coc_door019,cthulhudoorback	Door	--	--	--	--	text
Madness! Paranoia	Cthulhu 2	cthulhu2coc_door020,cthulhudoorback	Door	--	--	--	--	text
Madness! Schizophrenia	Cthulhu 2	cthulhu2coc_door021,cthulhudoorback	Door	--	--	--	--	text
Monster Whacker	Cthulhu 2	cthulhu2coc_door022,cthulhudoorback	Door	--	--	--	--	text
Old Man Nodens	Cthulhu 2	cthulhu2coc_door023,cthulhudoorback	Door	--	--	--	--	text
Professor	Cthulhu 2	cthulhu2coc_door024,cthulhudoorback	Door	--	--	--	--	text
Puppies of Tindalos	Cthulhu 2	cthulhu2coc_door025,cthulhudoorback	Door	--	--	--	--	text
Sheep Ones	Cthulhu 2	cthulhu2coc_door026,cthulhudoorback	Door	--	--	--	--	text
Shoggoats	Cthulhu 2	cthulhu2coc_door027,cthulhudoorback	Door	--	--	--	--	text
Shub-Piggurath	Cthulhu 2	cthulhu2coc_door028,cthulhudoorback	Door	--	--	--	--	text
Sudden Head Blow	Cthulhu 2	cthulhu2coc_door029,cthulhudoorback	Door	--	--	--	--	text
Super Munchkin	Cthulhu 2	cthulhu2coc_door030,cthulhudoorback	Door	--	--	--	--	text
Twitching	Cthulhu 2	cthulhu2coc_door031,cthulhudoorback	Door	--	--	--	--	text
Wandering Monster	Cthulhu 2	cthulhu2coc_door032,cthulhudoorback	Door	--	--	--	--	text
Bovine Intervention	Cthulhu 2	cthulhu2coc_treasure001,cthulhutreasureback	Treasure	--	--	--	UOO	Play this card during any combat.  Cowthulhu falls from the sky and kills any one monster.  No levels are gained from the monster killed this way.  Its treasure is gained only if the remaining monster(s) are defeated.
Frenzied Howl	Cthulhu 2	cthulhu2coc_treasure002,cthulhutreasureback	Treasure	+2 Bonus	--	--	UOO	+2 to either side in a combat.  Usable once only.  If the player TWO seats to your left has a lower level than you when you discard this card, he may immediately put it in his hand to use in a later combat.
Green Reaper	Cthulhu 2	cthulhu2coc_treasure003,cthulhutreasureback	Treasure	+3 Bonus	Big; 1 Hand	600 Gold Pieces	Steed	If you do not have the Steed or Vehicle rules, treat this as an item that requires one Hand to drive, but does not count against your total of Big items even though it's Big.  It carries itself.  The Green Reaper counts as a flame attack.
Hayfork	Cthulhu 2	cthulhu2coc_treasure004,cthulhutreasureback	Treasure	+2 Bonus	1 Hand	400 Gold Pieces	Item	--
Hick Ichor	Cthulhu 2	cthulhu2coc_treasure005,cthulhutreasureback	Treasure	+3 Bonus	--	200 Gold Pieces	UOO	+3 to either side in a combat.  Usable once only.
Ichory Dickory Doc	Cthulhu 2	cthulhu2coc_treasure006,cthulhutreasureback	Treasure	--	--	--	UOO	Play this card at any time except during combat.  You meet a mad scientist who wants to trade for Ichor.  For every Ichor card you discard, draw two face-down Treasures.
Loaded Die	Cthulhu 2	cthulhu2coc_treasure007,cthulhutreasureback	Treasure	--	--	300 Gold Pieces	UOO	Play after you roll the die, for any reason.  Turn the die so the number of your choice is on top.  That's your roll.   Usable once only.
Meditate at the Temple of the Moon	Cthulhu 2	cthulhu2coc_treasure008,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Muskratonic University Letter Jacket	Cthulhu 2	cthulhu2coc_treasure009,cthulhutreasureback	Treasure	+2 Bonus	Armor	500 Gold Pieces	Item	--
Pose for a Portrait	Cthulhu 2	cthulhu2coc_treasure010,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Pot-Bellied Stove	Cthulhu 2	cthulhu2coc_treasure011,cthulhutreasureback	Treasure	+5 Bonus	--	400 Gold Pieces	UOO	+5 to either side in a combat.  Usable once only.  This counts as a flame attack.
Prize-Winning Preserves	Cthulhu 2	cthulhu2coc_treasure012,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Rolling Pin	Cthulhu 2	cthulhu2coc_treasure013,cthulhutreasureback	Treasure	+1 Bonus	1 Hand	200 Gold Pieces	Item	If you have both the Rolling Pin and the Bowling Pin, their total bonus is +6.
Scythe	Cthulhu 2	cthulhu2coc_treasure014,cthulhutreasureback	Treasure	+3 Bonus	1 Hand	300 Gold Pieces	Item	--
Secret Handshake	Cthulhu 2	cthulhu2coc_treasure015,cthulhutreasureback	Treasure	--	--	--	UOO	Play when you are in combat.  The Cultist of your choice must help you without any reward.
Song of Madness, Part 2	Cthulhu 2	cthulhu2coc_treasure016,cthulhutreasureback	Treasure	+2 Bonus	--	--	UOO	Old Cowthulhu had a farm, I-A-I-A-O!  +2 to either side in a combat, or +5 if the one who plays the card sings the above out loud.  May not be used to aid the munchkin side unless only a single munchkin is fighting.  Usable once only.
Spud Gun	Cthulhu 2	cthulhu2coc_treasure017,cthulhutreasureback	Treasure	+4 Bonus	2 Hands	700 Gold Pieces	Item	--
Squidskin Boots	Cthulhu 2	cthulhu2coc_treasure018,cthulhutreasureback	Treasure	+2/+4 Bonus	Footgear	600 Gold Pieces	Item	+2 bonus normally, but +4 for a Monster Whacker or Cowboy.
Straw Hat	Cthulhu 2	cthulhu2coc_treasure019,cthulhutreasureback	Treasure	+3 Bonus	Headgear	500 Gold Pieces	Item	May be played in any combat, either from the table or from your hand, to give a +3 to a monster.  Then discard it.
Super Duper Pooper Scooper	Cthulhu 2	cthulhu2coc_treasure020,cthulhutreasureback	Treasure	+1 Bonus	1 Hand	200 Gold Pieces	Item	You may ignore any Curse, Bad Stuff, or monster effect that would take away your Footgear.
Tainted	Cthulhu 2	cthulhu2coc_treasure021,cthulhutreasureback	Treasure	+4 Bonus	--	--	Enhancer	Place this card with an item that requires Hands.  That item is now the Tainted (whatever), and worth an extra +4 in combat.  However, each time it is used in combat by a non-Cultist, the owner must roll a die.  On a 1, he becomes a Cultist after the combat, and the item is discarded.  This card goes with the item if it is lost, stolen, or discarded.
The Churninator	Cthulhu 2	cthulhu2coc_treasure022,cthulhutreasureback	Treasure	+4 Bonus	2 Hands	800 Gold Pieces	Item	Any monster of Level 1 or 2 is automatically churninated and defeated.  No one can play cards to help it.
Wishing Ring	Cthulhu 2	cthulhu2coc_treasure023,cthulhutreasureback	Treasure	--	--	500 Gold Pieces	UOO	Cancels any curse.  Play at any time.  Usable once only.
Wishing Well	Cthulhu 2	cthulhu2coc_treasure024,cthulhutreasureback	Treasure	--	--	--	UOO	Play this card only after combat ends on your own turn.  You may go through either discard stack and take any one card.  Usable once only.
Atlach-Nacha	Cthulhu 3	cthulhu3tuv_door001,cthulhudoorback	Door	--	--	--	--	text
Cheat!	Cthulhu 3	cthulhu3tuv_door002,cthulhudoorback	Door	--	--	--	--	text
Chthonians!	Cthulhu 3	cthulhu3tuv_door003,cthulhudoorback	Door	--	--	--	--	text
Crunchy Cultists	Cthulhu 3	cthulhu3tuv_door004,cthulhudoorback	Door	--	--	--	--	text
Cultist	Cthulhu 3	cthulhu3tuv_door005,cthulhudoorback	Door	--	--	--	--	text
Dagoon	Cthulhu 3	cthulhu3tuv_door006,cthulhudoorback	Door	--	--	--	--	text
Deepoines	Cthulhu 3	cthulhu3tuv_door007,cthulhudoorback	Door	--	--	--	--	text
Drooling	Cthulhu 3	cthulhu3tuv_door008,cthulhudoorback	Door	--	--	--	--	text
Ghouls	Cthulhu 3	cthulhu3tuv_door009,cthulhudoorback	Door	--	--	--	--	text
Great Cthulhoo	Cthulhu 3	cthulhu3tuv_door010,cthulhudoorback	Door	--	--	--	--	text
Gug	Cthulhu 3	cthulhu3tuv_door011,cthulhudoorback	Door	--	--	--	--	text
Investigator	Cthulhu 3	cthulhu3tuv_door012,cthulhudoorback	Door	--	--	--	--	text
Madness! Autophobia	Cthulhu 3	cthulhu3tuv_door013,cthulhudoorback	Door	--	--	--	--	text
Madness! Bibliophobia	Cthulhu 3	cthulhu3tuv_door014,cthulhudoorback	Door	--	--	--	--	text
Madness! Dipsophobia	Cthulhu 3	cthulhu3tuv_door015,cthulhudoorback	Door	--	--	--	--	text
Madness! Phobophobia	Cthulhu 3	cthulhu3tuv_door016,cthulhudoorback	Door	--	--	--	--	text
Madness! Pyromania	Cthulhu 3	cthulhu3tuv_door017,cthulhudoorback	Door	--	--	--	--	text
Mi-Goo	Cthulhu 3	cthulhu3tuv_door018,cthulhudoorback	Door	--	--	--	--	text
Monster Whacker	Cthulhu 3	cthulhu3tuv_door019,cthulhudoorback	Door	--	--	--	--	text
Nightgaunts	Cthulhu 3	cthulhu3tuv_door020,cthulhudoorback	Door	--	--	--	--	text
Nyarly	Cthulhu 3	cthulhu3tuv_door021,cthulhudoorback	Door	--	--	--	--	text
Professor	Cthulhu 3	cthulhu3tuv_door022,cthulhudoorback	Door	--	--	--	--	text
Shoggies	Cthulhu 3	cthulhu3tuv_door023,cthulhudoorback	Door	--	--	--	--	text
Shubby	Cthulhu 3	cthulhu3tuv_door024,cthulhudoorback	Door	--	--	--	--	text
Sudden Head Blow	Cthulhu 3	cthulhu3tuv_door025,cthulhudoorback	Door	--	--	--	--	text
Super Munchkin	Cthulhu 3	cthulhu3tuv_door026,cthulhudoorback	Door	--	--	--	--	text
Teeny Weeny	Cthulhu 3	cthulhu3tuv_door027,cthulhudoorback	Door	--	--	--	--	text
Tindaloo	Cthulhu 3	cthulhu3tuv_door028,cthulhudoorback	Door	--	--	--	--	text
Truculent	Cthulhu 3	cthulhu3tuv_door029,cthulhudoorback	Door	--	--	--	--	text
Tumescent	Cthulhu 3	cthulhu3tuv_door030,cthulhudoorback	Door	--	--	--	--	text
Wandering Monster	Cthulhu 3	cthulhu3tuv_door031,cthulhudoorback	Door	--	--	--	--	text
Ygo	Cthulhu 3	cthulhu3tuv_door032,cthulhudoorback	Door	--	--	--	--	text
Yogzotot	Cthulhu 3	cthulhu3tuv_door033,cthulhudoorback	Door	--	--	--	--	text
'Zathoth	Cthulhu 3	cthulhu3tuv_door034,cthulhudoorback	Door	--	--	--	--	text
Can Opener	Cthulhu 3	cthulhu3tuv_treasure001,cthulhutreasureback	Treasure	+2 Bonus	1 Hand	400 Gold Pieces	Item	If you have the Can Opener, the Canned Meat cannot be used against you, and is worth +10 if you throw it.
Cultist T-Shirt	Cthulhu 3	cthulhu3tuv_treasure002,cthulhutreasureback	Treasure	+4 Bonus	Armor	500 Gold Pieces	Item	Made from a real Cultist!  May be worn along with other armor, but anything that takes away your Armor will take it all.  However, while you wear this disgusting item, no one will help you except Cultists.
Extraplanar	Cthulhu 3	cthulhu3tuv_treasure003,cthulhutreasureback	Treasure	+2 Bonus	--	--	Enhancer	Place this card with an item that requires Hands.  That item is now the Extraplanar (whatever), and worth an extra +2 in combat.  The owner of this item may also discard it during combat to discard one monster.  No treasure or levels are earned for that monster.  This card goes with the item if it is lost, stolen, or discarded.
Feed Friends To Cthulhoo	Cthulhu 3	cthulhu3tuv_treasure004,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	If you play this card immediately after Great Cthulhoo (or Great Cthulhu) catches another player, the level you go up can be the winning level!  Ia!
Fickle Ichor	Cthulhu 3	cthulhu3tuv_treasure005,cthulhutreasureback	Treasure	+6 Bonus	--	200 Gold Pieces	UOO	+6 to either side in a combat, if it works.  Usable once only.  When you use the Fickle Ichor, roll a die.  On a 4-6, it works as intended and is discarded.  But on a 1-3, it bounces off!  All other players roll dice.  The winner picks up the Fickle Ichor
Footicles	Cthulhu 3	cthulhu3tuv_treasure006,cthulhutreasureback	Treasure	+2 Bonus	--	--	Enhancer	You may now have any number of Footgear, but anything that makes you lose any Footgear makes you lose it all, regardless of the powers of the other Footgear.  If you grow Footicles, and you're not already a Cultist, then become one.  A non-Cultist may not play Footicles unless there is a Cultist card available.
Frozen Shoggy	Cthulhu 3	cthulhu3tuv_treasure007,cthulhutreasureback	Treasure	+4 Bonus	--	No Value	UOO	+4 to either side in a combat.  Usable once only.  Roll a die when you throw the Frozen Shoggy.  On a 1, it gets confused and attacks the side opposite from the one you intended.
Hedge Shears	Cthulhu 3	cthulhu3tuv_treasure008,cthulhutreasureback	Treasure	+3 Bonus	2 Hands	500 Gold Pieces	Item	--
Hypodermic Needle	Cthulhu 3	cthulhu3tuv_treasure009,cthulhutreasureback	Treasure	+2 Bonus	1 Hand	300 Gold Pieces	Item	--
Inhuman Moan	Cthulhu 3	cthulhu3tuv_treasure010,cthulhutreasureback	Treasure	+2 Bonus	--	--	UOO	+2 to either side in a combat.  Usable once only.  If the player TWO seats to your left has a lower level than you when you discard this card, he may immediately put it in his hand to use in a later combat.
Loaded Die	Cthulhu 3	cthulhu3tuv_treasure011,cthulhutreasureback	Treasure	--	--	300 Gold Pieces	UOO	Play after you roll the die, for any reason.  Turn the die so the number of your choice is on top.  That's your roll.   Usable once only.
Master Your Fears	Cthulhu 3	cthulhu3tuv_treasure012,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	Instead of going up a level, you may use this card at any time to discard any or all Phobias you have.
Necrominicon	Cthulhu 3	cthulhu3tuv_treasure013,cthulhutreasureback	Treasure	+1 bonus	--	300 Gold Pieces	Item	+5 against monsters which are Itsy Bitsy or Teeny Weeny.  +10 if they are both!
Roman Candle	Cthulhu 3	cthulhu3tuv_treasure014,cthulhutreasureback	Treasure	+3 Bonus	1 Hand	500 Gold Pieces	Item	This is a fire/flame attack.
Search the Depths For Knowledge	Cthulhu 3	cthulhu3tuv_treasure015,cthulhutreasureback	Treasure	Go Up A Level	--	--	GUAL	--
Song of Madness, Part 3	Cthulhu 3	cthulhu3tuv_treasure016,cthulhutreasureback	Treasure	+2 Bonus	--	--	UOO	The stars at night are a-ligned right, deep in the heart of Texas!  +2 to either side in a combat, or +5 if the one who plays the card sings the above out loud.  May not be used to aid the munchkin side unless only a single munchkin is fighting.  Usable once only.
Soooo Cooooool!	Cthulhu 3	cthulhu3tuv_treasure017,cthulhutreasureback	Treasure	--	--	--	UOO	Play this card at any time, even during combat, to bring either the Shoggles or Frozen Shoggy card out of the discards.  You may put the card into your hand, or into the combat.  Alternatively, you can use this card to give +10 to either of the above cards after it has been played, but before the die is rolled for the Frozen Shoggy.
Sticky Head	Cthulhu 3	cthulhu3tuv_treasure018,cthulhutreasureback	Treasure	--	--	--	Enhancer	Nothing, not even death, can take away your Headgear.  Or this card.  This means you cannot sell or trade your Headgear, either.  If you play Sticky Head, and you're not already a Cultist, then become one.  A non-Cultist may not play Sticky Head unless there is a Cultist card available.
Tricky Ichor	Cthulhu 3	cthulhu3tuv_treasure019,cthulhutreasureback	Treasure	--	--	300 Gold Pieces	UOO	Use during combat.  Discard one monster from the combat and substitute a monster from your hand.  You decide whether any enhancers or items on the discarded monster carry over or are discarded.  Usable once only.
Victrola	Cthulhu 3	cthulhu3tuv_treasure020,cthulhutreasureback	Treasure	+4 Bonus	Big; 1 Hand	600 Gold Pieces	Item	You may use the Victrola's bonus in any combat, whether you are involved in that combat or not.  It can give a bonus only to the munchkins, not the monsters.
Wishing Ring	Cthulhu 3	cthulhu3tuv_treasure021,cthulhutreasureback	Treasure	--	--	500 Gold Pieces	Item	Cancels any curse.  Play at any time.  Usable once only.
Yum Yum!	Cthulhu 3	cthulhu3tuv_treasure022,cthulhutreasureback	Treasure	--	--	--	UOO	Play this card during any combat, before any attempt to Run Away is made.  Add "Death" to the Bad Stuff for any one monster if it's not already there.  That monster will now pursue all characters regardless of class, level, sex, and so on.
Chooser of the Path1	Cthulhu 4	cthulhu4cc_door001,cthulhudoorback	Door	--	--	--	--	text
Chooser of the Path2	Cthulhu 4	cthulhu4cc_door002,cthulhudoorback	Door	--	--	--	--	text
Ditched!1	Cthulhu 4	cthulhu4cc_door003,cthulhudoorback	Door	--	--	--	--	text
Ditched!2	Cthulhu 4	cthulhu4cc_door004,cthulhudoorback	Door	--	--	--	--	text
Fated to Repeat History1	Cthulhu 4	cthulhu4cc_door005,cthulhudoorback	Door	--	--	--	--	text
Fated to Repeat History2	Cthulhu 4	cthulhu4cc_door006,cthulhudoorback	Door	--	--	--	--	text
Gate of the Old Ones1	Cthulhu 4	cthulhu4cc_door007,cthulhudoorback	Door	--	--	--	--	text
Gate of the Old Ones2	Cthulhu 4	cthulhu4cc_door008,cthulhudoorback	Door	--	--	--	--	text
Giant Flashing Elder Sign1	Cthulhu 4	cthulhu4cc_door009,cthulhudoorback	Door	--	--	--	--	text
Giant Flashing Elder Sign2	Cthulhu 4	cthulhu4cc_door010,cthulhudoorback	Door	--	--	--	--	text
Parallel Dimension1	Cthulhu 4	cthulhu4cc_door011,cthulhudoorback	Door	--	--	--	--	text
Parallel Dimension2	Cthulhu 4	cthulhu4cc_door012,cthulhudoorback	Door	--	--	--	--	text
This Way, You Fools!1	Cthulhu 4	cthulhu4cc_door013,cthulhudoorback	Door	--	--	--	--	text
This Way, You Fools!2	Cthulhu 4	cthulhu4cc_door014,cthulhudoorback	Door	--	--	--	--	text
Vast, Horrible Glyphs Graven on the Walls1	Cthulhu 4	cthulhu4cc_door015,cthulhudoorback	Door	--	--	--	--	text
Vast, Horrible Glyphs Graven on the Walls2	Cthulhu 4	cthulhu4cc_door016,cthulhudoorback	Door	--	--	--	--	text
Arena of Azathoth	Cthulhu 4	cthulhu4cc_dungeon001,cthulhudungeonback	Dungeon	--	--	--	--	text
Arkham Subway Station	Cthulhu 4	cthulhu4cc_dungeon002,cthulhudungeonback	Dungeon	--	--	--	--	text
Burrow of Byatis	Cthulhu 4	cthulhu4cc_dungeon003,cthulhudungeonback	Dungeon	--	--	--	--	text
Cavern of Archetypes	Cthulhu 4	cthulhu4cc_dungeon004,cthulhudungeonback	Dungeon	--	--	--	--	text
Chasm of Cthulhu	Cthulhu 4	cthulhu4cc_dungeon005,cthulhudungeonback	Dungeon	--	--	--	--	text
Crevasse of the Chthonians	Cthulhu 4	cthulhu4cc_dungeon006,cthulhudungeonback	Dungeon	--	--	--	--	text
Crypts of Innsmouth	Cthulhu 4	cthulhu4cc_dungeon007,cthulhudungeonback	Dungeon	--	--	--	--	text
Den of Dholes	Cthulhu 4	cthulhu4cc_dungeon008,cthulhudungeonback	Dungeon	--	--	--	--	text
Dunwich Ditch	Cthulhu 4	cthulhu4cc_dungeon009,cthulhudungeonback	Dungeon	--	--	--	--	text
Grotto of Glaaki	Cthulhu 4	cthulhu4cc_dungeon010,cthulhudungeonback	Dungeon	--	--	--	--	text
K'n-Yan	Cthulhu 4	cthulhu4cc_dungeon011,cthulhudungeonback	Dungeon	--	--	--	--	text
Lightless Lair of the Lloigor	Cthulhu 4	cthulhu4cc_dungeon012,cthulhudungeonback	Dungeon	--	--	--	--	text
Midden of the Mi-Go	Cthulhu 4	cthulhu4cc_dungeon013,cthulhudungeonback	Dungeon	--	--	--	--	text
Miskatonic University Library Basement	Cthulhu 4	cthulhu4cc_dungeon014,cthulhudungeonback	Dungeon	--	--	--	--	text
Mountains of Madness	Cthulhu 4	cthulhu4cc_dungeon015,cthulhudungeonback	Dungeon	--	--	--	--	text
Sewer of Shoggoths	Cthulhu 4	cthulhu4cc_dungeon016,cthulhudungeonback	Dungeon	--	--	--	--	text
Subterranean Shoe Store of Shub-Niggurath	Cthulhu 4	cthulhu4cc_dungeon017,cthulhudungeonback	Dungeon	--	--	--	--	text
The Dreamlands	Cthulhu 4	cthulhu4cc_dungeon018,cthulhudungeonback	Dungeon	--	--	--	--	text
Tunnel of Tsathoggua	Cthulhu 4	cthulhu4cc_dungeon019,cthulhudungeonback	Dungeon	--	--	--	--	text
Ubbo-Sathla's Underworld	Cthulhu 4	cthulhu4cc_dungeon020,cthulhudungeonback	Dungeon	--	--	--	--	text
Sparkly Good Fairy	Fairy Dust	fairydust_door001	Fairy Dust	--	--	--	--	text
Brownie In Motion	Fairy Dust	fairydust001,fairydustback	Fairy Dust	--	--	--	--	text
Calamity-Canceling Crawdad	Fairy Dust	fairydust002,fairydustback	Fairy Dust	--	--	--	--	text
Charmed Circle	Fairy Dust	fairydust003,fairydustback	Fairy Dust	--	--	--	--	text
Fairy Favor	Fairy Dust	fairydust004,fairydustback	Fairy Dust	--	--	--	--	text
